Matrice;Feature;TypePredominant;taux
Comparison_between_Esperanto_and_Novial  Personal pronouns;Novial;NA;1.0
Comparison_between_Esperanto_and_Novial  Personal pronouns;Products;NA;1.0
Comparison_between_Esperanto_and_Novial  Personal pronouns;English;NA;1.0
Comparison_between_Esperanto_and_Novial  Personal pronouns;Esperanto;NA;1.0
Comparison_between_Esperanto_and_Novial  Active voice;Esperanto;Conditional;0.5
Comparison_between_Esperanto_and_Novial  Active voice;Novial;StringValue;0.9375
Comparison_between_Esperanto_and_Novial  Active voice;English;StringValue;0.9444444444444444
Comparison_between_Esperanto_and_Novial  Passive voice of becoming;Novial;StringValue;1.0
Comparison_between_Esperanto_and_Novial  Passive voice of becoming;English;StringValue;1.0
Comparison_between_Esperanto_and_Novial  Passive voice of becoming;Esperanto;Conditional;1.0
Comparison_between_Esperanto_and_Novial  Passive voice of being;Novial;StringValue;1.0
Comparison_between_Esperanto_and_Novial  Passive voice of being;English;StringValue;1.0
Comparison_between_Esperanto_and_Novial  Passive voice of being;Esperanto;Conditional;0.7692307692307693
Comparison_between_Esperanto_and_Novial  Language sample for comparison;Esperanto versionPatro nia kiu estas en la iel;NA;1.0
Comparison_between_Esperanto_and_Novial  Language sample for comparison;Novial versionNusen Patre kel es in sielemey ;NA;1.0
Comparison_between_Ido_and_Interlingua   Orthography ;Interlingua;StringValue;1.0
Comparison_between_Ido_and_Interlingua   Orthography ;Ido;StringValue;0.9666666666666667
Comparison_between_Ido_and_Interlingua   Orthography ;IPA;StringValue;1.0
Comparison_between_Ido_and_Interlingua  Sample text;Patro nia qua esas en la cielotua nomo santige;StringValue;1.0
Comparison_between_Ido_and_Interlingua  Sample text;The Lord's Prayer in Ido;StringValue;0.6666666666666666
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;D d;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;L l;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;P p;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;U u;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;V v;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;N n;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;E e;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;Ido;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;I i;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;S s;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;X x;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;H h;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;R r;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;T t;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;K k;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;G g;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;Dj dj;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;Y y;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;SH sh;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;F f;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;C c;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;J j;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;QU qu;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;O o;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;Z z;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;CH ch;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;A a;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;M m;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;B b;StringValue;1.0
Comparison_between_Ido_and_Novial  Alphabets and pronunciation;W w;StringValue;0.75
Comparison_between_Ido_and_Novial  Personal pronouns;singular;NA;1.0
Comparison_between_Ido_and_Novial  Personal pronouns;indef;StringValue;0.75
Comparison_between_Ido_and_Novial  Personal pronouns;plural;NA;1.0
Comparison_between_Ido_and_Novial  Language sample for comparison;Ido versionPatro nia qua esas en la cielotua ;NA;1.0
Comparison_between_Ido_and_Novial  Language sample for comparison;Novial versionNusen Patre kel es in sielemey ;NA;1.0
Comparison_between_US_states_and_countries_by_GDP_(nominal)  State and country data;Rank;IntegerValue;1.0
Comparison_between_US_states_and_countries_by_GDP_(nominal)  State and country data;State;StringValue;1.0
Comparison_between_US_states_and_countries_by_GDP_(nominal)  State and country data;GDP(in millions USD);IntegerValue;1.0
Comparison_between_US_states_and_countries_by_GDP_(nominal)  State and country data;Nation;StringValue;1.0
Comparison_between_US_states_and_countries_by_GDP_(nominal)  State and country data;GDP(in millions USD);IntegerValue;1.0
Comparison_between_US_states_and_countries_by_GDP_(nominal)  State and country data;Rank;IntegerValue;1.0
Comparison_between_US_states_and_countries_by_GDP_(nominal)  State and country data;Year;IntegerValue;1.0
Comparison_between_US_states_and_countries_by_GDP_(nominal)_per_capita  2009;GDP per capita (USD);IntegerValue;1.0
Comparison_between_US_states_and_countries_by_GDP_(nominal)_per_capita  2009;CountryUS State;StringValue;1.0
Comparison_between_US_states_and_countries_by_GDP_(nominal)_per_capita  2009;Rank by countryRank by US State;IntegerValue;1.0
Comparison_between_US_states_and_countries_by_GDP_(nominal)_per_capita  2009;Overall Rank;IntegerValue;1.0
Comparison_between_US_states_and_countries_by_GDP_(PPP);Rank;IntegerValue;1.0
Comparison_between_US_states_and_countries_by_GDP_(PPP);GDP (Billions of US in PPP);RealValue;0.7391304347826086
Comparison_between_US_states_and_countries_by_GDP_(PPP);Country;StringValue;1.0
Comparison_between_US_states_and_countries_by_GDP_(PPP);US equivalents;StringValue;0.9807692307692307
Comparison_between_US_states_and_countries_by_GDP_(PPP)  2013 Full List ;Rank;IntegerValue;1.0
Comparison_between_US_states_and_countries_by_GDP_(PPP)  2013 Full List ;Country;StringValue;0.9960474308300395
Comparison_between_US_states_and_countries_by_GDP_(PPP)  2013 Full List ;GDP (Billions of US);RealValue;0.9125475285171103
Comparison_of_3D_computer_graphics_software   General information ;Platforms;StringValue;1.0
Comparison_of_3D_computer_graphics_software   General information ;Latest release date  and version;StringValue;0.9047619047619048
Comparison_of_3D_computer_graphics_software   General information ;License;StringValue;1.0
Comparison_of_3D_computer_graphics_software   General information ;Mainly Used For;StringValue;0.9606299212598425
Comparison_of_3D_computer_graphics_software   General information ;Developed by;StringValue;0.9767441860465116
Comparison_of_3D_computer_graphics_software   General information ;Application;StringValue;1.0
Comparison_of_3D_computer_graphics_software  Operating system support;Mac OS X;BooleanValue;1.0
Comparison_of_3D_computer_graphics_software  Operating system support;Windows;BooleanValue;1.0
Comparison_of_3D_computer_graphics_software  Operating system support;Other;BooleanValue;0.725
Comparison_of_3D_computer_graphics_software  Operating system support;Unix;BooleanValue;1.0
Comparison_of_3D_computer_graphics_software  Operating system support;BSD;BooleanValue;1.0
Comparison_of_3D_computer_graphics_software  Operating system support;Name;StringValue;1.0
Comparison_of_3D_computer_graphics_software  Operating system support;Linux;BooleanValue;1.0
Comparison_of_3D_computer_graphics_software  Features;Wireframe;BooleanValue;1.0
Comparison_of_3D_computer_graphics_software  Features;Rendering;BooleanValue;1.0
Comparison_of_3D_computer_graphics_software  Features;Imports;StringValue;0.9646739130434783
Comparison_of_3D_computer_graphics_software  Features;Exports;StringValue;0.9502923976608187
